ENCODED_MCT,TA_YM,HPSN_MCT_BZN_CD_NM,closure_probability,risk_score,risk_level,risk_type,priority,classification_confidence
62DCAD38F6,202412,성수,0.4982772,49,Medium,정상,normal,0.0
1A018DCAD1,202412,뚝섬,0.48705202,48,Medium,정상,normal,0.0
A3550D0BEC,202412,답십리,0.488533,48,Medium,정상,normal,0.0
80DB3D6336,202412,금남시장,0.48174942,48,Medium,정상,normal,0.0
6D684E1B4C,202412,뚝섬,0.48045325,48,Medium,정상,normal,0.0
89DFC2D95C,202412,뚝섬,0.48576456,48,Medium,정상,normal,0.0
38BDC5B4AE,202412,뚝섬,0.47282326,47,Medium,정상,normal,0.0
80498D20B0,202412,,0.4719136,47,Medium,정상,normal,0.0
8EC31C80FF,202412,성수,0.470068,47,Medium,정상,normal,0.0
BF9955B7C9,202412,성수,0.46661696,46,Medium,정상,normal,0.0
8BD86B08D1,202412,왕십리,0.4603026,46,Medium,정상,normal,0.0
90D9F5AEB2,202412,성수,0.4613463,46,Medium,정상,normal,0.0
3A0FA79FF3,202412,성수,0.46407682,46,Medium,정상,normal,0.0
A9E4FFF531,202412,성수,0.46034843,46,Medium,정상,normal,0.0
F344AFB600,202412,,0.4672917,46,Medium,정상,normal,0.0
F0A284DA09,202412,성수,0.4683956,46,Medium,정상,normal,0.0
4C8487EFAE,202412,,0.4530196,45,Medium,정상,normal,0.0
A9EDBF95B0,202412,,0.45256597,45,Medium,정상,normal,0.0
41CB64C3C9,202412,성수,0.45825204,45,Medium,정상,normal,0.0
AB7C12DD2E,202412,,0.44396007,44,Medium,정상,normal,0.0
B7277086F3,202412,마장동,0.44577706,44,Medium,정상,normal,0.0
5A13DDE2D6,202412,성수,0.44786805,44,Medium,정상,normal,0.0
0A969D0884,202412,,0.44020092,44,Medium,정상,normal,0.0
1C0E3D3E9C,202412,,0.43208042,43,Medium,정상,normal,0.0
FFF0DAC445,202412,성수,0.4396352,43,Medium,정상,normal,0.0
007BE37BA2,202412,성수,0.4311243,43,Medium,정상,normal,0.0
8A26E12861,202412,뚝섬,0.43748215,43,Medium,정상,normal,0.0
93EC04859E,202412,왕십리,0.43206924,43,Medium,정상,normal,0.0
733563490D,202412,뚝섬,0.4337357,43,Medium,정상,normal,0.0
BA69E3CDB0,202412,금남시장,0.43097305,43,Medium,정상,normal,0.0
D8D8741AE4,202412,장한평자동차,0.43484676,43,Medium,정상,normal,0.0
4069628130,202412,마장동,0.4333526,43,Medium,정상,normal,0.0
69C8736433,202412,성수,0.43590263,43,Medium,정상,normal,0.0
2E4C72C286,202412,한양대,0.4320455,43,Medium,정상,normal,0.0
01AB37892D,202412,마장동,0.4237128,42,Medium,정상,normal,0.0
02886FCA36,202412,뚝섬,0.42723212,42,Medium,정상,normal,0.0
C99550815C,202412,,0.42941988,42,Medium,정상,normal,0.0
36E3A686C1,202412,금남시장,0.42348698,42,Medium,정상,normal,0.0
D413A3CF88,202412,성수,0.42655498,42,Medium,정상,normal,0.0
DF67DE190B,202412,,0.42049694,42,Medium,정상,normal,0.0
765AA249BB,202412,,0.427015,42,Medium,정상,normal,0.0
C22B08730F,202412,뚝섬,0.42018875,42,Medium,정상,normal,0.0
BBE9114104,202412,성수,0.4252564,42,Medium,정상,normal,0.0
6D76048445,202412,금남시장,0.42265016,42,Medium,정상,normal,0.0
ED0AED2575,202412,성수,0.42519557,42,Medium,정상,normal,0.0
1F8450ED67,202412,마장동,0.42514995,42,Medium,정상,normal,0.0
40057A0E5A,202412,,0.4130729,41,Medium,정상,normal,0.0
CA3624AE85,202412,옥수,0.41480142,41,Medium,정상,normal,0.0
9CC514117B,202412,한양대,0.4123001,41,Medium,정상,normal,0.0
C0E191132C,202412,,0.41082567,41,Medium,정상,normal,0.0
B162012869,202412,,0.410285,41,Medium,정상,normal,0.0
801E357409,202412,뚝섬,0.4116735,41,Medium,정상,normal,0.0
E86582DC31,202412,뚝섬,0.41303504,41,Medium,정상,normal,0.0
F2207F8023,202412,성수,0.41253227,41,Medium,정상,normal,0.0
F1C69918DF,202412,,0.41674325,41,Medium,정상,normal,0.0
A479497AF2,202412,성수,0.41412112,41,Medium,정상,normal,0.0
C068094A9E,202412,답십리,0.41840288,41,Medium,정상,normal,0.0
5159C627D2,202412,,0.41712287,41,Medium,정상,normal,0.0
CB2533B6A3,202412,금남시장,0.40775418,40,Medium,정상,normal,0.0
40F82EA1A1,202412,성수,0.40238532,40,Medium,정상,normal,0.0
C078C96A10,202412,뚝섬,0.40646702,40,Medium,정상,normal,0.0
2B06E192A3,202412,답십리,0.40021926,40,Medium,정상,normal,0.0
DA38CBD132,202412,왕십리,0.40551296,40,Medium,정상,normal,0.0
4BC6588772,202412,성수,0.4057579,40,Medium,정상,normal,0.0
670C37D448,202412,뚝섬,0.40591317,40,Medium,정상,normal,0.0
9E4161542A,202412,성수,0.40755138,40,Medium,정상,normal,0.0
57A742D22B,202412,뚝섬,0.40819865,40,Medium,정상,normal,0.0
FF73A2D71A,202412,한양대,0.39913905,39,Low,정상,normal,0.0
C948BD5C50,202412,성수,0.39541078,39,Low,정상,normal,0.0
C8A02ED0B7,202412,왕십리,0.3974743,39,Low,정상,normal,0.0
DCDA685076,202412,뚝섬,0.39100695,39,Low,정상,normal,0.0
DDA448BE28,202412,,0.39280748,39,Low,정상,normal,0.0
E7ADF04349,202412,,0.396205,39,Low,정상,normal,0.0
B2DA05F4F2,202412,옥수,0.39283955,39,Low,정상,normal,0.0
BA7F9E4F9A,202412,왕십리,0.390841,39,Low,정상,normal,0.0
1938F6377B,202412,,0.39929196,39,Low,정상,normal,0.0
6B61E9F331,202412,성수,0.39752284,39,Low,정상,normal,0.0
708697C149,202412,마장동,0.39283955,39,Low,정상,normal,0.0
7D86CADAA6,202412,,0.39569005,39,Low,정상,normal,0.0
FEE6966193,202412,,0.39566502,39,Low,정상,normal,0.0
26D174D6A5,202412,,0.38730538,38,Low,정상,normal,0.0
F719EFDFC0,202412,왕십리,0.38396975,38,Low,정상,normal,0.0
F27F93CCEE,202412,마장동,0.38071138,38,Low,정상,normal,0.0
7C36D7F09A,202412,,0.38241258,38,Low,정상,normal,0.0
30A93020E1,202412,뚝섬,0.381631,38,Low,정상,normal,0.0
13A08DED0C,202412,성수,0.38272274,38,Low,정상,normal,0.0
66CF03A8B9,202412,,0.38369653,38,Low,정상,normal,0.0
7D27EA6A09,202412,왕십리,0.38362572,38,Low,정상,normal,0.0
62EF38C706,202412,뚝섬,0.38207507,38,Low,정상,normal,0.0
60AD2EEEB8,202412,마장동,0.38123542,38,Low,정상,normal,0.0
E549A26D24,202412,뚝섬,0.38735142,38,Low,정상,normal,0.0
0AF7BD60A5,202412,답십리,0.37382662,37,Low,정상,normal,0.0
A248404D2E,202412,답십리,0.37413627,37,Low,정상,normal,0.0
80847B8A08,202412,,0.37353247,37,Low,정상,normal,0.0
FD0DB1E115,202412,옥수,0.37655678,37,Low,정상,normal,0.0
DDAA9A9275,202412,,0.37523627,37,Low,정상,normal,0.0
885A9CCE76,202412,성수,0.37806496,37,Low,정상,normal,0.0
B1640E51DF,202412,,0.3793972,37,Low,정상,normal,0.0
4E6576A551,202412,성수,0.3706519,37,Low,정상,normal,0.0
F4D804EFA3,202412,마장동,0.36872503,36,Low,정상,normal,0.0
C1B6121B9C,202412,,0.3632642,36,Low,정상,normal,0.0
FCAF3BA597,202412,뚝섬,0.36711356,36,Low,정상,normal,0.0
CC6E68F51E,202412,성수,0.36488855,36,Low,정상,normal,0.0
67309EAD75,202412,,0.36314633,36,Low,정상,normal,0.0
696BDA4E25,202412,왕십리,0.36652407,36,Low,정상,normal,0.0
050A4E0A6D,202412,성수,0.36384633,36,Low,정상,normal,0.0
3B8E59372C,202412,마장동,0.36080447,36,Low,정상,normal,0.0
45653EE08D,202412,,0.35565445,35,Low,정상,normal,0.0
07E06697D9,202412,왕십리,0.35552353,35,Low,정상,normal,0.0
DD91730DEC,202412,성수,0.3529942,35,Low,정상,normal,0.0
C0FFD3E7B0,202412,,0.35977194,35,Low,정상,normal,0.0
53679A769E,202412,,0.34494764,34,Low,정상,normal,0.0
C9EF27B57A,202412,성수,0.34561113,34,Low,정상,normal,0.0
2EBD1956DE,202412,성수,0.34139478,34,Low,정상,normal,0.0
47DF527035,202412,답십리,0.34196666,34,Low,정상,normal,0.0
14AAC1149B,202412,마장동,0.34974205,34,Low,정상,normal,0.0
B918A3FB98,202412,성수,0.34201315,34,Low,정상,normal,0.0
A2BE23B78B,202412,,0.34127396,34,Low,정상,normal,0.0
BC04FDC81C,202412,뚝섬,0.34750456,34,Low,정상,normal,0.0
E300186CEB,202412,성수,0.34566,34,Low,정상,normal,0.0
CDF016103F,202412,왕십리,0.34499153,34,Low,정상,normal,0.0
4FD8DEB849,202412,,0.3432727,34,Low,정상,normal,0.0
1DEEB5568D,202412,성수,0.34389967,34,Low,정상,normal,0.0
256B5CE947,202412,,0.33781692,33,Low,정상,normal,0.0
D21FE6A7B4,202412,성수,0.33536252,33,Low,정상,normal,0.0
94AC53C528,202412,,0.33849373,33,Low,정상,normal,0.0
C40079D748,202412,,0.33220652,33,Low,정상,normal,0.0
3AAA1F7B5B,202412,답십리,0.3351538,33,Low,정상,normal,0.0
D10F02182E,202412,금남시장,0.33113432,33,Low,정상,normal,0.0
51AD83F917,202412,,0.3359859,33,Low,정상,normal,0.0
FA74A080E1,202412,,0.33804074,33,Low,정상,normal,0.0
BCB8BCC1D2,202412,뚝섬,0.33850837,33,Low,정상,normal,0.0
AFD575EAD3,202412,마장동,0.33322516,33,Low,정상,normal,0.0
D04EE73563,202412,,0.3282749,32,Low,정상,normal,0.0
31EC330DC9,202412,성수,0.3298042,32,Low,정상,normal,0.0
66317DF98C,202412,행당,0.32739776,32,Low,정상,normal,0.0
6FEFF6CAA0,202412,,0.3291281,32,Low,정상,normal,0.0
53893756B9,202412,성수,0.3254351,32,Low,정상,normal,0.0
D9C06C8643,202412,뚝섬,0.32430223,32,Low,정상,normal,0.0
EED0404EC2,202412,,0.32933152,32,Low,정상,normal,0.0
EE7D3593F6,202412,뚝섬,0.32623395,32,Low,정상,normal,0.0
ED52C35FC7,202412,마장동,0.32817328,32,Low,정상,normal,0.0
14AAED5A5C,202412,마장동,0.3260004,32,Low,정상,normal,0.0
CECDA06CB5,202412,,0.3217703,32,Low,정상,normal,0.0
D4AD2AD30A,202412,,0.32046747,32,Low,정상,normal,0.0
38C18AF0CF,202412,뚝섬,0.31634954,31,Low,정상,normal,0.0
AAA62C4412,202412,왕십리,0.315571,31,Low,정상,normal,0.0
C508123D9A,202412,성수,0.3177156,31,Low,정상,normal,0.0
5393B95278,202412,,0.31856108,31,Low,정상,normal,0.0
EAA6C3BAD2,202412,,0.31456223,31,Low,정상,normal,0.0
8FF6E51D2C,202412,행당,0.31006032,31,Low,정상,normal,0.0
7571EA0116,202412,뚝섬,0.31108898,31,Low,정상,normal,0.0
85630A8BAA,202412,,0.31144893,31,Low,정상,normal,0.0
B87969F843,202412,왕십리,0.3108379,31,Low,정상,normal,0.0
289FECEDF1,202412,마장동,0.31402203,31,Low,정상,normal,0.0
525D3B1AD2,202412,마장동,0.31099266,31,Low,정상,normal,0.0
48D0F061EB,202412,,0.31860688,31,Low,정상,normal,0.0
3115CB8448,202412,뚝섬,0.3146194,31,Low,정상,normal,0.0
35A4AA3FB1,202412,신금호,0.31606817,31,Low,정상,normal,0.0
D85CD85462,202412,왕십리,0.31771,31,Low,정상,normal,0.0
2CF63CC8AA,202412,뚝섬,0.3055513,30,Low,정상,normal,0.0
8640E83EC0,202412,마장동,0.30117756,30,Low,정상,normal,0.0
E6A2D6AB86,202412,성수,0.30734888,30,Low,정상,normal,0.0
A6964F8879,202412,마장동,0.30372033,30,Low,정상,normal,0.0
665886A952,202412,,0.305828,30,Low,정상,normal,0.0
A66E664F52,202412,답십리,0.30893773,30,Low,정상,normal,0.0
6CF34390D0,202412,왕십리,0.30868274,30,Low,정상,normal,0.0
1545D071D9,202412,,0.30498222,30,Low,정상,normal,0.0
1B10962D6B,202412,,0.3054974,30,Low,정상,normal,0.0
DA3FBABC19,202412,,0.30285755,30,Low,정상,normal,0.0
DA4547AB2F,202412,성수,0.30884576,30,Low,정상,normal,0.0
D757DF77E2,202412,장한평자동차,0.30668676,30,Low,정상,normal,0.0
30888E19A2,202412,성수,0.30363235,30,Low,정상,normal,0.0
40C78A09A2,202412,마장동,0.30453295,30,Low,정상,normal,0.0
6385DDECF1,202412,뚝섬,0.30007765,30,Low,정상,normal,0.0
B870F34E7B,202412,,0.30888972,30,Low,정상,normal,0.0
E569E14F36,202412,마장동,0.30048192,30,Low,정상,normal,0.0
4F6821E9D7,202412,뚝섬,0.30227077,30,Low,정상,normal,0.0
23B2E3C466,202412,뚝섬,0.30072534,30,Low,정상,normal,0.0
068FABCF18,202412,,0.30784374,30,Low,정상,normal,0.0
BFFAC4B600,202412,성수,0.30522716,30,Low,정상,normal,0.0
69BC027D6D,202412,금남시장,0.30090174,30,Low,정상,normal,0.0
2BE8E6A10C,202412,마장동,0.30679324,30,Low,정상,normal,0.0
BCA89C9A13,202412,뚝섬,0.29340544,29,Low,정상,normal,0.0
26F68BFF02,202412,뚝섬,0.29377788,29,Low,정상,normal,0.0
EBCBFD170F,202412,,0.29439548,29,Low,정상,normal,0.0
3DDD63B1FA,202412,,0.29465812,29,Low,정상,normal,0.0
549B0B52D3,202412,,0.29228714,29,Low,정상,normal,0.0
5811A8E05B,202412,장한평자동차,0.29660484,29,Low,정상,normal,0.0
A7BC78E695,202412,뚝섬,0.2925891,29,Low,정상,normal,0.0
AAE6F17DA3,202412,왕십리,0.29331547,29,Low,정상,normal,0.0
AAC3D4597D,202412,마장동,0.29934442,29,Low,정상,normal,0.0
680E102527,202412,성수,0.29527542,29,Low,정상,normal,0.0
70DB9DA8AB,202412,,0.29717222,29,Low,정상,normal,0.0
81789768D6,202412,답십리,0.29130304,29,Low,정상,normal,0.0
308272D87D,202412,왕십리,0.29752654,29,Low,정상,normal,0.0
9710E13DA5,202412,금남시장,0.29811424,29,Low,정상,normal,0.0
0C8BE8ECAD,202412,,0.29353034,29,Low,정상,normal,0.0
D983AF8437,202412,성수,0.29764453,29,Low,정상,normal,0.0
E5D4A2B7C3,202412,마장동,0.29480943,29,Low,정상,normal,0.0
5B537AFFD8,202412,마장동,0.29821277,29,Low,정상,normal,0.0
B0C882072B,202412,뚝섬,0.29197752,29,Low,정상,normal,0.0
1E10EECF86,202412,,0.29453692,29,Low,정상,normal,0.0
12E149DC7F,202412,뚝섬,0.29585823,29,Low,정상,normal,0.0
646D7BE313,202412,성수,0.2941317,29,Low,정상,normal,0.0
B8D4C536C4,202412,성수,0.28517634,28,Low,정상,normal,0.0
F1F5DC5BD6,202412,,0.28595063,28,Low,정상,normal,0.0
40FF885FCA,202412,성수,0.28746015,28,Low,정상,normal,0.0
1DDB44FF35,202412,,0.2844451,28,Low,정상,normal,0.0
4C9FAA2C92,202412,뚝섬,0.28716946,28,Low,정상,normal,0.0
99EA6AF2C9,202412,왕십리,0.28756568,28,Low,정상,normal,0.0
984E520E5D,202412,뚝섬,0.28252736,28,Low,정상,normal,0.0
86B7149C4A,202412,답십리,0.28507277,28,Low,정상,normal,0.0
B723E3740D,202412,옥수,0.28162566,28,Low,정상,normal,0.0
B95A7665A4,202412,한양대,0.28725716,28,Low,정상,normal,0.0
F94D17B95F,202412,,0.2860017,28,Low,정상,normal,0.0
2D4E9106EA,202412,,0.28636345,28,Low,정상,normal,0.0
6FCAE1B526,202412,뚝섬,0.28429714,28,Low,정상,normal,0.0
1AFD192CB4,202412,,0.2866929,28,Low,정상,normal,0.0
A8288C7C45,202412,금남시장,0.28213155,28,Low,정상,normal,0.0
6E069E8678,202412,왕십리,0.28876668,28,Low,정상,normal,0.0
85B1514422,202412,왕십리,0.27507034,27,Low,정상,normal,0.0
A5D4128C49,202412,답십리,0.27087834,27,Low,정상,normal,0.0
566804A508,202412,화양시장,0.27402425,27,Low,정상,normal,0.0
26FAE231DB,202412,,0.27416462,27,Low,정상,normal,0.0
4F98A3CB2D,202412,,0.27175894,27,Low,정상,normal,0.0
C970710431,202412,뚝섬,0.2756766,27,Low,정상,normal,0.0
2CEF80C971,202412,,0.2728726,27,Low,정상,normal,0.0
D1AB16DDC4,202412,마장동,0.27635974,27,Low,정상,normal,0.0
5529CDFCDF,202412,성수,0.27104115,27,Low,정상,normal,0.0
8DDCE4944D,202412,,0.27760774,27,Low,정상,normal,0.0
2B355A80CB,202412,답십리,0.27302146,27,Low,정상,normal,0.0
02B146CDF2,202412,왕십리,0.27820688,27,Low,정상,normal,0.0
E7A25A394B,202412,뚝섬,0.27397624,27,Low,정상,normal,0.0
A6324E2F43,202412,뚝섬,0.26817396,26,Low,정상,normal,0.0
A0995D635E,202412,,0.26855478,26,Low,정상,normal,0.0
B51D3CC6E0,202412,,0.2621497,26,Low,정상,normal,0.0
44CA6EDFE3,202412,마장동,0.26746276,26,Low,정상,normal,0.0
C22422FD12,202412,,0.26803178,26,Low,정상,normal,0.0
F5D2297649,202412,왕십리,0.26757112,26,Low,정상,normal,0.0
AEE4ACBA39,202412,한양대,0.26925346,26,Low,정상,normal,0.0
ACDE665CFC,202412,동대문역사문화공원역,0.2630683,26,Low,정상,normal,0.0
C372007CE6,202412,,0.26561227,26,Low,정상,normal,0.0
203E53DC61,202412,,0.26410034,26,Low,정상,normal,0.0
37BCC1D215,202412,뚝섬,0.26514947,26,Low,정상,normal,0.0
C76B1790F8,202412,뚝섬,0.26426867,26,Low,정상,normal,0.0
EC4263AD5F,202412,성수,0.26982906,26,Low,정상,normal,0.0
50431C729D,202412,,0.26419622,26,Low,정상,normal,0.0
3816AE5158,202412,,0.26557708,26,Low,정상,normal,0.0
F12638FC09,202412,마장동,0.266208,26,Low,정상,normal,0.0
FE56C99A69,202412,성수,0.26274884,26,Low,정상,normal,0.0
2FB475D73E,202412,,0.2692468,26,Low,정상,normal,0.0
D3A10D3E66,202412,,0.25894699,25,Low,정상,normal,0.0
FF0B7211A6,202412,,0.25822008,25,Low,정상,normal,0.0
11917ED05B,202412,금남시장,0.25386667,25,Low,정상,normal,0.0
20CD5C4AB7,202412,,0.25418144,25,Low,정상,normal,0.0
4DC1192CB7,202412,마장동,0.2553425,25,Low,정상,normal,0.0
A17BCB86AE,202412,왕십리,0.2556183,25,Low,정상,normal,0.0
8F21F5ED8C,202412,,0.25316015,25,Low,정상,normal,0.0
9E161EE38E,202412,뚝섬,0.2510324,25,Low,정상,normal,0.0
FB0BD34001,202412,,0.25896,25,Low,정상,normal,0.0
D01DF9EC5F,202412,,0.25686562,25,Low,정상,normal,0.0
856F0FE484,202412,,0.25927168,25,Low,정상,normal,0.0
1C3EE116AE,202412,왕십리,0.25672272,25,Low,정상,normal,0.0
EAD0ED7E79,202412,성수,0.25901842,25,Low,정상,normal,0.0
609DC095EC,202412,뚝섬,0.25171036,25,Low,정상,normal,0.0
AF12407D8A,202412,한양대,0.2572777,25,Low,정상,normal,0.0
8F6C066370,202412,마장동,0.25311786,25,Low,정상,normal,0.0
1F0AAE3EBE,202412,뚝섬,0.25882426,25,Low,정상,normal,0.0
537AB5F50E,202412,,0.25028172,25,Low,정상,normal,0.0
ED1607CD38,202412,한양대,0.2550119,25,Low,정상,normal,0.0
5828134AC4,202412,,0.25157127,25,Low,정상,normal,0.0
3D432C28C3,202412,,0.2576011,25,Low,정상,normal,0.0
18A1E81F1B,202412,,0.25893867,25,Low,정상,normal,0.0
69473BF966,202412,,0.2538853,25,Low,정상,normal,0.0
E19118E99D,202412,한양대,0.25333035,25,Low,정상,normal,0.0
8D1EB6E432,202412,왕십리,0.25685287,25,Low,정상,normal,0.0
02621706D5,202412,,0.25461623,25,Low,정상,normal,0.0
276A8846C9,202412,왕십리,0.25596896,25,Low,정상,normal,0.0
8BD25C78F3,202412,,0.2510945,25,Low,정상,normal,0.0
9345D90AE7,202412,,0.25108698,25,Low,정상,normal,0.0
D98E86E1EF,202412,뚝섬,0.24304208,24,Low,정상,normal,0.0
317594F27F,202412,답십리,0.24201545,24,Low,정상,normal,0.0
833D6DB650,202412,한양대,0.2486858,24,Low,정상,normal,0.0
2B88E8F026,202412,성수,0.24091405,24,Low,정상,normal,0.0
2F63B0EE20,202412,뚝섬,0.24472342,24,Low,정상,normal,0.0
014A6A2154,202412,왕십리,0.24027677,24,Low,정상,normal,0.0
FC94397B9D,202412,마장동,0.24751763,24,Low,정상,normal,0.0
90BB88D55E,202412,왕십리,0.24354343,24,Low,정상,normal,0.0
AEC1C59A9D,202412,,0.24067216,24,Low,정상,normal,0.0
7149E85111,202412,뚝섬,0.24608487,24,Low,정상,normal,0.0
75AC755E3E,202412,마장동,0.24779175,24,Low,정상,normal,0.0
7638584FB7,202412,왕십리,0.24619886,24,Low,정상,normal,0.0
1A8C2D30CA,202412,한양대,0.24989836,24,Low,정상,normal,0.0
F8A788D183,202412,성수,0.24584936,24,Low,정상,normal,0.0
9B9E1448A4,202412,행당,0.24042271,24,Low,정상,normal,0.0
C8E76C194D,202412,한양대,0.24619113,24,Low,정상,normal,0.0
91BD541A0F,202412,성수,0.24617437,24,Low,정상,normal,0.0
59C69D9CD8,202412,마장동,0.24751763,24,Low,정상,normal,0.0
DF5E6C949C,202412,뚝섬,0.24132329,24,Low,정상,normal,0.0
5AE70815C9,202412,왕십리,0.24135673,24,Low,정상,normal,0.0
679B13C3AD,202412,한양대,0.24151272,24,Low,정상,normal,0.0
01D70FA491,202412,성수,0.24433562,24,Low,정상,normal,0.0
E17006A999,202412,뚝섬,0.24007548,24,Low,정상,normal,0.0
E0F74B2307,202412,성수,0.24315262,24,Low,정상,normal,0.0
268A868E38,202412,뚝섬,0.24579298,24,Low,정상,normal,0.0
24F5384BB4,202412,성수,0.24788843,24,Low,정상,normal,0.0
EEFB21D12B,202412,뚝섬,0.24875554,24,Low,정상,normal,0.0
A7429A4A77,202412,마장동,0.24350025,24,Low,정상,normal,0.0
ED67372F75,202412,성수,0.24078314,24,Low,정상,normal,0.0
47C8C40086,202412,답십리,0.24650411,24,Low,정상,normal,0.0
CDD05905F4,202412,답십리,0.2404164,24,Low,정상,normal,0.0
8B23667254,202412,성수,0.23192519,23,Low,정상,normal,0.0
14B24AF78E,202412,,0.2364736,23,Low,정상,normal,0.0
26DA5D7B15,202412,왕십리,0.23543216,23,Low,정상,normal,0.0
D78D9659F1,202412,,0.23448555,23,Low,정상,normal,0.0
